fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,duracion,cantidad_horas
6/2023,RCP y PRIMEROS AUXILIOS,Salud,TODAS,39,Rodrigo Ibarra - PAR,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,1 encuentro de 3 horas,6
7/2023,RCP y PRIMEROS AUXILIOS,Salud,Palacio Municipal y Desarrollo Económico,39,Rodrigo Ibarra - PAR,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,1 encuentro de 3 horas,6
7/2023,RCP y PRIMEROS AUXILIOS,Salud,Dirección de Educación,26,Rodrigo Ibarra - PAR,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,1 encuentro de 3 horas,3
4/2023,EXCEL BÁSICO,Informática,TODAS,10,Jorge Egea,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Distrito E,"21 encuentros de 1,15 hora",26
4/2023,EXCEL AVANZADO,Informática,TODAS,8,Tomás Gianinni,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Distrito E,"22 encuentros de 1,15 hora","27,5"
2/2023,PROTECCIÓN CONTRA INCENDIOS Y UTILIZACIÓN DE EXTINTORES PORTÁTILES,Seguridad e higiene,Tribunal de Faltas / Desarrollo Social / Palacio Municipal / Desarrollo Económico / Taxis y Remises / Planta de Pavimento / Parque Municipal / Oficina Grúa / Maestranza / Terminal de Omnibus,278,Daniel Virelaude,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,En áreas de pertenencia,1 encuentro de 2 horas,24
4/2023,ESPECIALIZACIÓN EN SEGURIDAD VIAL,Competencias técnicas,Control Urbano,72,Sergio Levin,Control Urbano,PRESENCIAL,Casa del Bicentenario,"1 encuentro 3,5 horas","3,5"
3/2023,CAPACITACIÓN EN LEYES PROVINCIALES N° 9286 / 9256,Competencias técnicas,Personal que realiza tareas vinculadas a la administración de los RRHH,47,Pablo González                                  Elisa Chacón,Dirección de RRHH,PRESENCIAL,Casa Museo Cayetano Silva,1 encuentro 2 horas,2
7/2023,JORNADA RECREACIÓN EN ACCIÓN,Competencias técnicas,Docentes de la Dirección de Deportes,22,Lic. Alejandro Beltramino,ICES,PRESENCIAL,Gimnasio de ICES,1 encuentro 7 horas,7
8/2023,CAPACITACIÓN PREPARACIÓN FÍSICA: La fuerza como capacidad principal,Competencias técnicas,Docentes de la Dirección de Deportes,4,Norberto Alarcón,CIES - FUSION FITTNES - Municipalidad de Corral de Bustos,PRESENCIAL,Sala Enrique Torres (Córdoba 664)  - Corral de Bustos,1 encuentro 6 horas,6
10/2023,"PRIMER CONGRESO INTERNACIONAL DE FITNESS ACUÁTICO, HIDROTERAPIA Y NATACIÓN",Competencias técnicas,Profesores de Educación Física,1,Varios,Andrea Moriconi - Casilda,PRESENCIAL,Varios,,6
9/2023,REVÁLIDA NACIONAL PARA ENTRENADORES Y ENTRENADORAS DE BÁSQUETBOL,Competencias técnicas,Entrenadores y Entrenadoras de Básquetbol,4,Oscar Sánchez - Diego Lifschitz,ENEBA - Asociación Rosarina de Básquetbol,PRESENCIAL,Estadio Cruce Alberdi - Rosario,,8
9/2023,SEMINARIO: INTELIGENCIA EMOCIONAL APICADA A LOS CONTROLES URBANOS,Competencias técnicas,Control Urbano y Convivencia,76,Lic. Daniel Márquez - AS.PRO.SEG - Córdoba,Dirección de RRHH - Secretaría de Control Urbano y Convivencia,PRESENCIAL,Club de los Abuelos,1 encuentro de 3 horas,3
9/2023,SEGURIDAD EN EL USO DE ELEMENTOS Y PRODUCTOS DE LIMPIEZA,Seguridad e higiene,Servicios generales,98,Ing. Daniel Virelaude,Dirección de RRHH,PRESENCIAL,Casa del Museo Cayetano Silva,1 encuentro de 2 horas,8
9/2023,LENGUA DE SEÑAS ARGENTINA (LSA),Inclusión y DDHH,Todas,4,Prof. Karen Rey,Dirección de RRHH,PRESENCIAL,Distrito E,12 encuentros de 1:30 h,19
12/2023,SEGURIDAD EN LA REALIZACION DE TRABAJOS EN ALTURA,Seguridad e higiene,Trabajadores municipales que realizan tareas de mantenimiento en altura,10,Ing. Daniel Virelaude,Dirección de RRHH,PRESENCIAL,Sala Garnier,1 encuentro de 2 horas,2
