fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,duracion,cantidad_horas
3/2022,CLAVES PARA UNA COMUNICACIÓN EFICAZ CON EL VECINO,Competencias técnicas,Personal de contacto - administrativos e Inspectores,27,Alejandra Yelin,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Instituto Dante Alighieri,"4 clases - 1,30hs",6
3/2022,PREVENCIÓN DE RIESGOS EN LA ACTIVIDAD DIARIA,Seguridad e higiene,Personal de TUP,9,Ing Daniel Virelaude,Subsec. De Movilidad,PRESENCIAL,TUP,1 encuentro de 1 hora,1:30
3/2022,SEGURIDAD LABORAL PARA PERSONAL DE LA PLANTA DE TRATAMIENTO DE RESIDUOS,Seguridad e higiene,Personal Planta de Tratamiento,17,Ing. Daniel Virelaude (MVT),Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Planta de Tratamiento de Residuos,"1 encuentro de 1,20 hora - 9.30 a 10.30",1:30
4/2022,RCP y PRIMEROS AUXILIOS,Salud,Personal Planta de Tratamiento,24,Rodrigo Ibarra - PAR,Oficina de Capacitación y Desarrollo - Dirección de RRHH,In Company,Planta de Tratamiento de Residuos,1 encuentro de 3 horas,3
5/2022,EXCEL BASICO,Informática,TODAS,17,Martín Arias - IMI,Oficina de Capacitación y Desarrollo de RRHH - Dirección de RRHH,VIRTUAL,ZOOM,2 grupos lunes (19 alumnos) y miércoles (23 alumnos) - 13 encuentros,20
9/2022,GOOGLE Y SUS HERRAMIENTAS (GSuite),Informática,TODAS,12,Martín Arias - IMI,Oficina de Capacitación y Desarrollo de RRHH - Dirección de RRHH,PRESENCIAL,Distrito E,10 clases presenciales de 1:30h. Y 10 clases virtuales.,30
5/2022,LENGUA DE SEÑAS ARGENTINA (LSA) - NIVEL INTENSIVO,Inclusión y DDHH,Personal de contacto,6,Karen Rey,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,18 clases | 90 mins | 20 alumnos,25
5/2022,LENGUA DE SEÑAS ARGENTINA (LSA) -  NIVEL AVANZADO,Inclusión y DDHH,Personal de contacto,17,Karen Rey,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,19 clases | 90 mins | 24 alumnos,25
8/2022,ACTUALIZACIÓN Y PERFECCIONAMIENTO EN DERECHO ADMINISTRATIVO PARA GOBIERNOS LOCALES,Competencias técnicas,Asesores legales de comunas y municipios,19,Dr. Richard Nisi,Dirección de Asuntos Jurídicos - Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Sala de Reuniones Garnier,3 clases | 120 mins,6
6/2022,DISEÑO DE UNA PLANIFICACIÓN PARA EL DICTADO DE CLASES,Competencias técnicas,Docentes talleres municipales,12,Lic. María Osío,Territorialidad y Cultura,PRESENCIAL,Sala de Reuniones Garnier,5 encuentros de 90 minutos,7
