fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,duracion,cantidad_horas
2/2021,ATENCION AL CIUDADANO EN EL SECTOR PÚBLICO MUNICIPAL,Competencias técnicas,TRIBUNAL DE FALTAS,14,COPA Gisela Weller,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Oficina Tribunal de Faltas,"4 clases - 1,30hs",6
3/2021,ATENCION AL CIUDADANO EN EL SECTOR PÚBLICO MUNICIPAL,Competencias técnicas,CARNET + GUP,15,COPA Gisela Weller,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Casa del Bicentenario,"4 clases - 1,30hs",6
4/2021,RCP Y PRIMEROS AUXILIOS (Primer Grupo),Salud,EDUCACIÓN - DEPORTES - TRÁNSITO - GUP - OBRAS Y SERVICIOS PÚBLICOS - DELEGADOS GREMIALES - TRIBUNAL DE FALTAS,220,TSEM Rodrigo Ibarra - Inst. Nair Ontivero - PAR Paramédico Argentino,Oficina de Capacitación y Desarrollo - Dirección de RRHH  y ATM,PRESENCIAL,Salón ATM,"1 Clase de 2,30 hs",5
6/2021,RCP Y PRIMEROS AUXILIOS (Segundo Grupo),Salud,Todas las areas,170,TSEM Rodrigo Ibarra - Inst. Nair Ontivero - PAR Paramédico Argentino,Oficina de Capacitación y Desarrollo - Dirección de RRHH  y ATM,PRESENCIAL,Salón ATM,1 Clase de 8:00 a 11:00,30
1/2021,EXCEL LABORAL (NIVELES BÁSICO E INTERMEDIO),Informática,DIRECCIÓN DE RRHH y SECRETARÍA LEGAL Y TÉCNICA,6,Instituto LIDERCOM,Oficina de Capacitación y Desarrollo de RRHH - Dirección de RRHH,VIRTUAL,Oficina Dirección de RRHH / Secretaría Legal y Técnica,4 meses - 2 encuentros semanales - 45 horas.,45
5/2021,SEGURIDAD RIESGO ELECTRICO PARA INSPECCIÓN TÉCNICA,Seguridad e higiene,DIRECCIÓN DE INSPECCIÓN GENERAL,15,Ing. Gustavo Plekovich,Dirección de Inspección General,PRESENCIAL,Casa del Bicentenario,"1 encuentro - 1,00hs",1
5/2021,SEGURIDAD OPERADORES MOTOGUADAÑAS (CORTE DE CÉSPED Y DESMALEZADO),Seguridad e higiene,DIRECCION DE ESPACIOS PÚBLICOS,14,Ing. Daniel Virelaude (MVT),Oficina de Capacitación y Desarrollo de RRHH - Dirección de RRHH,PRESENCIAL,Casa del Bicentenario,"1 encuentro - 1,00hs",1
5/2021,SEGURIDAD PARA OPERARIOS EN ALTURA (PODA) Y OPERARIOS DE MOTOSIERRAS,Seguridad e higiene,DIRECCION DE ESPACIOS PÚBLICOS,16,Ing. Daniel Virelaude (MVT),Oficina de Capacitación y Desarrollo de RRHH - Dirección de RRHH,PRESENCIAL,Casa del Bicentenario,"1 encuentro - 1,00hs",1
6/2021,HERRAMIENTAS DE INFORMATICA - WINDOWS - EXCEL,Informática,AGRUPAMIENTO ADMINISTRATIVO,25,Martín Arias - IMI,Oficina de Capacitación y Desarrollo de RRHH - Dirección de RRHH,VIRTUAL,ZOOM,9 encuentros por grupo. 2 grupos. Lun -Mier (17:00 a 18:30 y 18:00 a 19:30) Mar-Jue (17:00 a 18:30 y 18:00 a 19:30),12
6/2021,CAPACITACIÓN SOBRE APARATOS SOMETIDOS A PRESIÓN PARA INSPECTORES,Competencias técnicas,DIRECCIÓN DE INSPECCIÓN GENERAL,16,Sr. Flavio Galloni de la EPE (ROSARIO).,DIRECCIÓN DE INSPECCIÓN GENERAL,PRESENCIAL,Sala Braier,1 encuentro - 12.15 a 15:00,3
6/2021,GESTIÓN DEL ARBOLADO PÚBLICO,Competencias técnicas,Personal de Poda,10,Equipo Técnico Forestal Interinsitucional,Ministerio de Ambiente y Cambio Climático del Gobierno de Santa Fe,VIRTUAL,Sala Garnier,1 encuentro,2
7/2021,CAPACITACIÓN EN FISCALIZACIÓN DE TAXIMETROS,Competencias técnicas,PERSONAL DE TAXIS Y REMISES,7,Ricardo Sensolini - Cámara de Talleristas,SUB. DE MOVILIDAD - TAXIS Y REMISES,PRESENCIAL,Sala Garnier,18:30,2
7/2021,CAPACITACIÓN SOBRE SEGURIDAD VIAL PARA PERMISIONARIOS y NORMAS DE TRÁNSITO,Competencias técnicas,Permisionarios,47,Ing. Daniel Virelaude (MVT),SUB. DE MOVILIDAD - Estacionamiento medido,PRESENCIAL,Salón ATM,1 encuentro por grupo de 20 personas - 8:00 a 9:00,1
6/2021,CURSO PARA AUDITORES DE CONTROL DE PLAGAS,Competencias técnicas,Seguridad Alimentaria / Control de Plagas / Taxis y Remises,14,Ing. Claudio Acosta - TerraVet (Sanidad Ambiental),Dirección de Seguridad Alimentaria,PRESENCIAL,Sala Braier,15:00 a 17:00,8
8/2021,COMO ACTUAR EN CASOS DE EMERGENCIAS EN LA VÍA PÚBLICA,Salud,Inspectores de Control Urbano / GUP,43,Ing. Daniel Virelaude (MVT),Secretaría de Control Urbano y Convivencia,PRESENCIAL,Salón ATM,"3 encuentros. 3 grupos. 15 a 16,30",13
10/2021,PREVENCION COVID,Salud,"Territorialidad, Parque M., Acción Social",6,Albornoz Matias Alejandro Tec.Sup.Hig y Seg Laboral - - Inst. Dante Alighieri,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,1 encuentro de 2 horas - 8 a 10,2
10/2021,PROTECCIÓN CONTRA INCENDIOS Y USO DEL MATAFUEGO,Seguridad e higiene,"Palacio M., Acción Social, Control, Servicios Públicos, Cultura, Educación, Parque M., Planta de Residuos, Salud.",15,Albornoz Matias Alejandro Tec.Sup.Hig y Seg Laboral - - Inst. Dante Alighieri,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,1 encuentro de 3 horas - 8 a 11,3
10/2021,RIESGO ELÉCTRICO PARA PERSONAL TÉCNICO,Seguridad e higiene,"Personal técnico de: Salud, Educación, Cultura, Control, Palacio M., Parque M., Planta de Residuos, Accion Social, Servicios Públicos.",9,Ing. Gustavo R. Plenkovich - Inst. Dante Alighieri,Oficina de Capacitación y Desarrollo - Dirección de RRHH,PRESENCIAL,Salón ATM,1 encuentros de 3 horas - 8 a 11,3
