Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
A. SALDO DISPONIBILIDADES AL INICIO,,,,,,,,,,,,
Caja, $  -   , $  -   , $  -   , $  -   , -, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Recaudaciones a depositar.," $  27.460.303,48 "," $  19.195.489,49 "," $  12.779.986,65 "," $  13.650.257,19 "," $  19.074.886,69 "," $  20.099.256,62 "," $  14.696.289,05 "," $  16.535.850,40 "," $  11.521.825,98 "," $  18.060.230,08 "," $  15.385.325,27 "," $  20.681.360,70 "
Bancos.," $  573.234.622,37 "," $  308.419.241,95 "," $  527.401.565,00 "," $  411.771.173,92 "," $  314.187.638,58 "," $  317.037.351,36 "," $  568.124.052,00 "," $  416.980.911,45 "," $  493.565.371,49 "," $  335.610.742,89 "," $  298.074.022,49 "," $  360.884.378,53 "
Pazos Fijos ," $  7.200.449.714,92 "," $  6.296.385.039,39 "," $  9.754.593.810,18 "," $  9.994.219.105,10 "," $  9.580.845.921,93 "," $  9.859.200.139,02 "," $  9.448.299.104,42 "," $  9.679.642.815,31 "," $  12.374.776.264,48 "," $  12.698.174.175,25 "," $  11.224.664.192,42 "," $  12.871.652.794,98 "
Inversiones," $  303.075.277,05 "," $  2.010.357.428,61 "," $  1.794.158.220,79 "," $  1.683.563.721,93 "," $  2.233.095.596,94 "," $  1.797.102.005,44 "," $  1.476.026.680,40 "," $  1.636.072.598,98 "," $  46.878.382,37 "," $  228.065.285,82 "," $  2.561.119.459,26 "," $  701.772.329,80 "
Fondos en tránsito, $  -   , $  -   , $  -   ,,," $  15.400.187,83 ",,,,,,
TOTAL," $  8.104.219.917,82 "," $  8.634.357.199,44 "," $  12.088.933.582,62 "," $  12.103.204.258,14 "," $  12.147.204.044,14 "," $  12.008.838.940,27 "," $  11.507.146.125,87 "," $  11.749.232.176,14 "," $  12.926.741.844,32 "," $  13.279.910.434,04 "," $  14.099.242.999,44 "," $  13.954.990.864,01 "
B. INGRESOS,,,,,,,,,,,,
Ingresos tributarios.," $  1.989.220.646,31 "," $  2.108.598.272,14 "," $  1.502.320.887,35 "," $  1.918.161.092,04 "," $  2.091.852.075,68 "," $  1.994.288.950,45 "," $  2.803.559.389,92 "," $  2.349.587.325,21 "," $  2.429.920.877,03 "," $  2.611.057.180,61 "," $  2.310.278.109,34 "," $  2.653.618.183,25 "
Ingresos contribución de mejoras.," $  38.458.509,93 "," $  25.878.051,28 "," $  24.944.595,93 "," $  24.624.176,47 "," $  37.428.176,46 "," $  32.066.849,03 "," $  36.549.488,82 "," $  40.437.673,25 "," $  60.173.145,44 "," $  48.563.598,03 "," $  61.874.837,25 "," $  145.578.179,81 "
Coparticipación nacional," $  711.912.700,55 "," $  722.301.614,02 "," $  666.044.452,03 "," $  501.760.828,69 "," $  548.252.192,71 "," $  645.634.044,87 "," $  591.156.894,51 "," $  681.421.401,99 "," $  709.091.427,51 "," $  946.095.335,99 "," $  749.494.299,83 "," $  718.877.780,87 "
Ingresos Fines específicos," $  192.702.615,06 "," $  576.502.069,06 "," $  99.764.040,05 "," $  105.388.280,51 "," $  120.343.907,37 "," $  231.997.255,68 "," $  314.671.932,25 "," $  292.318.451,95 "," $  184.881.061,23 "," $  95.625.237,82 "," $  164.465.177,71 "," $  320.644.980,79 "
Recursos de Capital," $  58.967.150,33 "," $  39.079.361,28 "," $  40.562.726,49 "," $  41.611.484,72 "," $  39.389.571,68 "," $  41.622.136,58 "," $  49.387.773,15 "," $  49.671.635,65 "," $  54.727.856,74 "," $  37.239.563,31 "," $  36.870.475,30 "," $  40.932.623,03 "
Recursos de financiamiento.," $  11.215.495,87 "," $  7.418.719,83 "," $  9.874.537,59 "," $  3.044.613,68 "," $  12.027.857,03 "," $  20.405.947,81 "," $  13.342.112,20 "," $  14.658.536,32 "," $  15.467.629,04 "," $  15.150.997,50 ", $  -   ," $  15.579.350,29 "
Coparticipación inmobiliario.," $  67.307.732,64 "," $  920.145.489,41 "," $  190.007.410,32 "," $  179.529.702,12 "," $  144.943.448,49 "," $  218.735.133,33 "," $  152.403.131,79 "," $  239.544.397,84 "," $  160.793.689,01 "," $  231.252.692,41 "," $  107.630.145,87 "," $  156.844.007,65 "
Coparticipación patentes.," $  243.782.812,91 "," $  1.517.278.585,47 "," $  404.219.630,06 "," $  352.346.653,37 "," $  246.406.173,03 "," $  358.682.558,66 "," $  287.879.372,02 "," $  239.438.247,67 "," $  349.680.120,91 "," $  246.558.695,48 "," $  329.988.227,41 "," $  357.250.486,28 "
Coparticipación ingresos brutos.," $  368.560.025,50 "," $  350.693.969,39 "," $  381.262.624,46 "," $  391.477.389,11 "," $  343.293.450,49 "," $  382.903.306,54 "," $  425.684.002,61 "," $  456.979.431,44 "," $  464.980.251,21 "," $  481.394.300,89 "," $  481.322.809,58 "," $  504.272.428,19 "
Ingresos no tributarios.," $  230.226.929,65 "," $  229.762.746,29 "," $  170.575.868,46 "," $  358.744.453,67 "," $  297.379.664,37 "," $  378.070.483,06 "," $  251.267.825,55 "," $  1.047.418.434,97 "," $  603.432.473,74 "," $  605.106.435,87 "," $  421.133.092,93 "," $  523.945.320,97 "
Coparticipación Ley Pcial. 13582 Art. 11,,,,,," $  5.727.269,08 ",,,,,,
Fondo Asistencia Financiera p/Municipios,,,,,,,,,,,,
